========================================================================================Rover 1.0 201221
Voltage:  15.9
Standby
hdg:   0, bias:  98
{v   0}
{lt  0.76}
msg: 09:34:17.424{LT21.6608}
msg: 09:34:17.435{LN7.0560}
msg: 09:34:17.442{LA231}
{lt  0.76}
msg: 09:34:18.433{LT21.7141}
msg: 09:34:18.443{LN6.9934}
msg: 09:34:18.452{LA231}
{lt  0.76}
msg: 09:34:19.445{LT21.7465}
msg: 09:34:19.455{LN6.9610}
msg: 09:34:19.463{LA231}
{lt  0.76}
msg: 09:34:20.454{LT21.7732}
msg: 09:34:20.464{LN6.9095}
msg: 09:34:20.472{LA231}
{lt  0.76}
msg: 09:34:21.464{LT21.7602}
msg: 09:34:21.473{LN6.9206}
msg: 09:34:21.480{LA231}
{lt  0.76}
msg: 09:34:22.470{LT21.7930}
msg: 09:34:22.481{LN6.9462}
msg: 09:34:22.488{LA231}
{lt  0.76}
msg: 09:34:23.479{LT21.7483}
msg: 09:34:23.490{LN6.9671}
msg: 09:34:23.497{LA231}
{lt  0.76}
msg: 09:34:24.487{LT21.8002}
msg: 09:34:24.498{LN6.9930}
msg: 09:34:24.505{LA231}
{lt  0.76}
msg: 09:34:25.496{LT21.8041}
msg: 09:34:25.507{LN7.0045}
msg: 09:34:25.514{LA231}
{lt  0.76}
msg: 09:34:26.508{LT21.8074}
msg: 09:34:26.519{LN7.0085}
msg: 09:34:26.526{LA231}
{lt  0.76}
msg: 09:34:27.517{LT21.8074}
msg: 09:34:27.526{LN7.0182}
msg: 09:34:27.534{LA231}
{lt  0.76}
msg: 09:34:28.525{LT21.8120}
msg: 09:34:28.535{LN7.0114}
msg: 09:34:28.543{LA231}
{lt  0.76}
msg: 09:34:29.534{LT21.8207}
msg: 09:34:29.544{LN7.0009}
msg: 09:34:29.552{LA231}
{lt  0.76}
msg: 09:34:30.542{LT21.8293}
msg: 09:34:30.552{LN7.0121}
msg: 09:34:30.559{LA231}
{lt  0.76}
msg: 09:34:31.551{LT21.8527}
msg: 09:34:31.561{LN6.9962}
msg: 09:34:31.568{LA231}
{lt  0.76}
msg: 09:34:32.559{LT21.8498}
msg: 09:34:32.569{LN7.0528}
msg: 09:34:32.576{LA241}
{lt  0.79}
msg: 09:34:33.571{LT21.8790}
msg: 09:34:33.580{LN7.0697}
msg: 09:34:33.589{LA241}
{lt  0.79}
msg: 09:34:34.581{LT21.8956}
msg: 09:34:34.591{LN7.0866}
msg: 09:34:34.598{LA241}
{lt  0.79}
msg: 09:34:35.589{LT21.9060}
msg: 09:34:35.600{LN7.0985}
msg: 09:34:35.607{LA241}
{lt  0.79}
msg: 09:34:36.598{LT21.9067}
msg: 09:34:36.608{LN7.1050}
msg: 09:34:36.616{LA241}
{lt  0.79}
msg: 09:34:37.606{LT21.9197}
msg: 09:34:37.617{LN7.1060}
msg: 09:34:37.624{LA241}
{lt  0.79}
msg: 09:34:38.615{LT21.9283}
msg: 09:34:38.625{LN7.1114}
msg: 09:34:38.632{LA241}
{lt  0.79}
msg: 09:34:39.625{LT21.9388}
msg: 09:34:39.634{LN7.1147}
msg: 09:34:39.643{LA241}
{lt  0.79}
msg: 09:34:40.635{LT21.9438}
msg: 09:34:40.646{LN7.1172}
msg: 09:34:40.653{LA241}
{lt  0.79}
msg: 09:34:41.646{LT21.9496}
msg: 09:34:41.655{LN7.1208}
msg: 09:34:41.662{LA241}
{lt  0.79}
msg: 09:34:42.655{LT21.9535}
msg: 09:34:42.666{LN7.1240}
msg: 09:34:42.673{LA241}
{lt  0.79}
msg: 09:34:43.664{LT21.9568}
msg: 09:34:43.673{LN7.1255}
msg: 09:34:43.682{LA241}
{lt  0.79}
msg: 09:34:44.674{LT21.9571}
msg: 09:34:44.684{LN7.1287}
msg: 09:34:44.691{LA241}
{lt  0.79}
msg: 09:34:45.683{LT21.9600}
msg: 09:34:45.694{LN7.1309}
msg: 09:34:45.701{LA241}
{lt  0.79}
msg: 09:34:46.692{LT21.9596}
msg: 09:34:46.703{LN7.1309}
msg: 09:34:46.710{LA241}
{lt  0.79}
msg: 09:34:47.705{LT21.9604}
msg: 09:34:47.715{LN7.1316}
msg: 09:34:47.723{LA241}
{lt  0.79}
msg: 09:34:48.713{LT21.9611}
msg: 09:34:48.722{LN7.1327}
msg: 09:34:48.731{LA241}
{lt  0.79}
msg: 09:34:49.721{LT21.9618}
msg: 09:34:49.732{LN7.1334}
msg: 09:34:49.739{LA241}
{lt  0.79}
msg: 09:34:50.730{LT21.9625}
msg: 09:34:50.740{LN7.1341}
msg: 09:34:50.748{LA241}
{lt  0.79}
msg: 09:34:51.738{LT21.9629}
msg: 09:34:51.749{LN7.1348}
msg: 09:34:51.756{LA241}
{lt  0.79}
msg: 09:34:52.747{LT21.9636}
msg: 09:34:52.758{LN7.1356}
msg: 09:34:52.765{LA241}
{lt  0.79}
msg: 09:34:53.756{LT21.9643}
msg: 09:34:53.767{LN7.1366}
msg: 09:34:53.774{LA241}
{lt  0.79}
msg: 09:34:54.768{LT21.9650}
msg: 09:34:54.778{LN7.1374}
msg: 09:34:54.785{LA241}
{lt  0.79}
msg: 09:34:55.777{LT21.9658}
msg: 09:34:55.787{LN7.1381}
msg: 09:34:55.795{LA241}
{lt  0.79}
msg: 09:34:56.785{LT21.9665}
msg: 09:34:56.795{LN7.1388}
msg: 09:34:56.802{LA241}
{lt  0.79}
msg: 09:34:57.793{LT21.9665}
msg: 09:34:57.804{LN7.1388}
msg: 09:34:57.811{LA241}
{lt  0.79}
msg: 09:34:58.802{LT21.9665}
msg: 09:34:58.813{LN7.1388}
msg: 09:34:58.820{LA241}
{lt  0.79}
msg: 09:34:59.810{LT21.9665}
msg: 09:34:59.821{LN7.1388}
msg: 09:34:59.828{LA241}
{lt  0.79}
msg: 09:35:00.819{LT21.9665}
msg: 09:35:00.830{LN7.1388}
msg: 09:35:00.837{LA241}
{lt  0.79}
msg: 09:35:01.832{LT21.9665}
msg: 09:35:01.842{LN7.1388}
msg: 09:35:01.849{LA241}
{lt  0.79}
msg: 09:35:02.840{LT21.9665}
msg: 09:35:02.850{LN7.1388}
msg: 09:35:02.858{LA241}
{lt  0.79}
msg: 09:35:03.849{LT21.9665}
msg: 09:35:03.859{LN7.1388}
msg: 09:35:03.866{LA241}
{lt  0.79}
msg: 09:35:04.857{LT21.9665}
msg: 09:35:04.867{LN7.1388}
msg: 09:35:04.875{LA241}
{lt  0.79}
msg: 09:35:05.866{LT21.9665}
