Rover 1.0 200813
Standby
{h  0}
{v   0}
{s   0}
msg: 10:58:11 {LT21.9334}
msg: 10:58:11 {LN7.2288}
msg: 10:58:12 {LA7984}
msg: 10:58:13 {O151}
{h163}
msg: 10:58:13 {O150}
{h162}
msg: 10:58:13 {LT21.9337}
msg: 10:58:13 {LN7.2281}
msg: 10:58:14 {LA7981}
msg: 10:58:16 {LT21.9337}
msg: 10:58:16 {LN7.2252}
msg: 10:58:16 {O151}
{h163}
msg: 10:58:17 {LA7988}
msg: 10:58:18 {LT21.9341}
msg: 10:58:18 {LN7.2245}
msg: 10:58:18 {LA7989}
msg: 10:58:20 {LT21.9337}
msg: 10:58:20 {LN7.2227}
msg: 10:58:20 {LA7989}
msg: 10:58:22 {LT21.9337}
msg: 10:58:22 {LN7.2212}
msg: 10:58:23 {LA8019}
msg: 10:58:25 {LT21.9337}
msg: 10:58:25 {LN7.2194}
msg: 10:58:25 {LA8037}
msg: 10:58:26 {LT21.9337}
msg: 10:58:26 {LN7.2191}
msg: 10:58:27 {LA8132}
msg: 10:58:28 {LT21.9330}
msg: 10:58:28 {LN7.2187}
msg: 10:58:29 {LA8178}
msg: 10:58:31 {LT21.9312}
msg: 10:58:31 {LN7.2173}
msg: 10:58:31 {LA8198}
msg: 10:58:33 {LT21.9312}
msg: 10:58:33 {LN7.2166}
msg: 10:58:34 {LA8241}
msg: 10:58:35 {LT21.9301}
msg: 10:58:35 {LN7.2162}
msg: 10:58:36 {LA8255}
msg: 10:58:38 {LT21.9301}
msg: 10:58:38 {LN7.2158}
msg: 10:58:38 {LA8259}
msg: 10:58:39 {LT21.9287}
msg: 10:58:39 {LN7.2155}
msg: 10:58:40 {LA8292}
msg: 10:58:41 {LT21.9283}
msg: 10:58:41 {LN7.2155}
msg: 10:58:42 {LA8317}
msg: 10:58:44 {LT21.9283}
msg: 10:58:44 {LN7.2158}
msg: 10:58:45 {LA8340}
msg: 10:58:46 {LT21.9258}
msg: 10:58:46 {LN7.2158}
msg: 10:58:46 {LA8348}
msg: 10:58:48 {LT21.9247}
msg: 10:58:48 {LN7.2166}
msg: 10:58:48 {LA8352}
msg: 10:58:50 {LT21.9229}
msg: 10:58:50 {LN7.2180}
msg: 10:58:51 {LA8327}
msg: 10:58:53 {LT21.9229}
msg: 10:58:53 {LN7.2212}
msg: 10:58:53 {LA8319}
msg: 10:58:54 {LT21.9190}
msg: 10:58:54 {LN7.2223}
msg: 10:58:55 {LA8322}
msg: 10:58:56 {LT21.9164}
msg: 10:58:56 {LN7.2234}
msg: 10:58:57 {LA8319}
msg: 10:58:59 {LT21.9164}
msg: 10:58:59 {LN7.2263}
msg: 10:59:00 {LA8286}
msg: 10:59:01 {LT21.9128}
msg: 10:59:01 {LN7.2266}
msg: 10:59:01 {LA8281}
msg: 10:59:03 {LT21.9107}
msg: 10:59:03 {LN7.2284}
msg: 10:59:03 {LA8273}
msg: 10:59:05 {LT21.9107}
msg: 10:59:05 {LN7.2295}
msg: 10:59:06 {LA8268}
msg: 10:59:07 {LT21.9092}
msg: 10:59:07 {LN7.2299}
msg: 10:59:08 {LA8273}
msg: 10:59:10 {LT21.9071}
msg: 10:59:10 {LN7.2320}
msg: 10:59:10 {LA8277}
msg: 10:59:12 {LT21.9071}
msg: 10:59:12 {LN7.2331}
msg: 10:59:13 {LA8315}
msg: 10:59:14 {LT21.9056}
msg: 10:59:14 {LN7.2335}
msg: 10:59:15 {LA8337}
msg: 10:59:17 {LT21.9056}
msg: 10:59:17 {LN7.2342}
msg: 10:59:17 {LA8348}
msg: 10:59:18 {LT21.9049}
msg: 10:59:18 {LN7.2342}
msg: 10:59:19 {LA8379}
msg: 10:59:20 {LT21.9046}
msg: 10:59:20 {LN7.2342}
msg: 10:59:21 {LA8396}
msg: 10:59:23 {LT21.9042}
msg: 10:59:23 {LN7.2349}
msg: 10:59:23 {LA8404}
msg: 10:59:25 {LT21.9042}
msg: 10:59:25 {LN7.2349}
msg: 10:59:26 {LA8432}
msg: 10:59:27 {LT21.9046}
msg: 10:59:27 {LN7.2349}
msg: 10:59:28 {LA8456}
msg: 10:59:30 {LT21.9046}
msg: 10:59:30 {LN7.2349}
msg: 10:59:30 {LA8459}
msg: 10:59:31 {LT21.9049}
msg: 10:59:31 {LN7.2349}
msg: 10:59:32 {LA8462}
msg: 10:59:33 {LT21.9049}
msg: 10:59:33 {LN7.2349}
msg: 10:59:34 {LA8468}
msg: 10:59:36 {LT21.9049}
msg: 10:59:36 {LN7.2349}
msg: 10:59:37 {LA8492}
msg: 10:59:38 {LT21.9049}
msg: 10:59:38 {LN7.2346}
msg: 10:59:38 {LA8504}
msg: 10:59:40 {LT21.9049}
msg: 10:59:40 {LN7.2346}
msg: 10:59:40 {LA8517}
msg: 10:59:42 {LT21.9049}
msg: 10:59:42 {LN7.2346}
msg: 10:59:43 {LA8570}
msg: 10:59:45 {LT21.9049}
msg: 10:59:45 {LN7.2346}
msg: 10:59:45 {LA8578}
msg: 10:59:46 {LT21.9049}
msg: 10:59:46 {LN7.2346}
msg: 10:59:47 {LA8596}
msg: 10:59:48 {LT21.9053}
msg: 10:59:48 {LN7.2342}
msg: 10:59:49 {LA8597}
msg: 10:59:51 {LT21.9053}
msg: 10:59:51 {LN7.2342}
msg: 10:59:52 {LA8604}
msg: 10:59:53 {LT21.9056}
msg: 10:59:53 {LN7.2342}
msg: 10:59:53 {LA8605}
msg: 10:59:55 {LT21.9056}
msg: 10:59:55 {LN7.2342}
msg: 10:59:55 {LA8603}
msg: 10:59:57 {LT21.9056}
msg: 10:59:57 {LN7.2342}
msg: 10:59:58 {LA8590}
msg: 10:59:59 {LT21.9053}
msg: 10:59:59 {LN7.2346}
msg: 11:00:00 {LA8584}
msg: 11:00:02 {LT21.9046}
msg: 11:00:02 {LN7.2356}
msg: 11:00:02 {LA8581}
msg: 11:00:04 {LT21.9046}
msg: 11:00:04 {LN7.2360}
msg: 11:00:05 {LA8559}
msg: 11:00:06 {LT21.9046}
msg: 11:00:06 {LN7.2364}
msg: 11:00:07 {LA8564}
msg: 11:00:09 {LT21.9046}
msg: 11:00:09 {LN7.2371}
msg: 11:00:09 {LA8564}
msg: 11:00:10 {LT21.9042}
msg: 11:00:10 {LN7.2374}
msg: 11:00:11 {LA8567}
msg: 11:00:12 {LT21.9038}
msg: 11:00:12 {LN7.2374}
msg: 11:00:13 {LA8565}
msg: 11:00:15 {LT21.9031}
msg: 11:00:15 {LN7.2392}
msg: 11:00:15 {LA8565}
msg: 11:00:17 {LT21.9031}
msg: 11:00:17 {LN7.2400}
msg: 11:00:18 {LA8561}
msg: 11:00:19 {LT21.9031}
msg: 11:00:19 {LN7.2403}
msg: 11:00:20 {LA8555}
msg: 11:00:22 {LT21.9031}
msg: 11:00:22 {LN7.2421}
msg: 11:00:22 {LA8548}
msg: 11:00:23 {LT21.9031}
msg: 11:00:23 {LN7.2425}
msg: 11:00:24 {LA8530}
msg: 11:00:25 {LT21.9031}
msg: 11:00:25 {LN7.2428}
msg: 11:00:26 {LA8521}
msg: 11:00:28 {LT21.9031}
msg: 11:00:28 {LN7.2443}
msg: 11:00:29 {LA8515}
msg: 11:00:30 {LT21.9028}
msg: 11:00:30 {LN7.2446}
msg: 11:00:30 {LA8513}
msg: 11:00:32 {LT21.9020}
msg: 11:00:32 {LN7.2450}
msg: 11:00:32 {LA8512}
msg: 11:00:34 {LT21.9020}
msg: 11:00:34 {LN7.2450}
msg: 11:00:35 {LA8513}
msg: 11:00:36 {LT21.9013}
msg: 11:00:36 {LN7.2450}
msg: 11:00:37 {LA8504}
msg: 11:00:39 {LT21.9010}
msg: 11:00:39 {LN7.2457}
msg: 11:00:39 {LA8502}
msg: 11:00:41 {LT21.9010}
msg: 11:00:41 {LN7.2461}
msg: 11:00:42 {LA8472}
msg: 11:00:43 {LT21.9002}
msg: 11:00:43 {LN7.2464}
msg: 11:00:44 {LA8456}
msg: 11:00:46 {LT21.9002}
msg: 11:00:46 {LN7.2464}
msg: 11:00:46 {LA8450}
msg: 11:00:47 {LT21.9010}
msg: 11:00:47 {LN7.2464}
msg: 11:00:48 {LA8431}
msg: 11:00:49 {LT21.9013}
msg: 11:00:49 {LN7.2464}
msg: 11:00:50 {LA8421}
msg: 11:00:52 {LT21.9013}
msg: 11:00:52 {LN7.2464}
msg: 11:00:53 {LA8411}
msg: 11:00:54 {LT21.9028}
msg: 11:00:54 {LN7.2464}
msg: 11:00:54 {LA8412}
msg: 11:00:56 {LT21.9049}
msg: 11:00:56 {LN7.2450}
msg: 11:00:56 {LA8415}
msg: 11:00:58 {LT21.9049}
msg: 11:00:58 {LN7.2439}
msg: 11:00:59 {LA8412}
msg: 11:01:00 {LT21.9071}
msg: 11:01:00 {LN7.2436}
msg: 11:01:01 {LA8429}
